time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,2.9,76,5.9,2025-12-11,0,cold,1.38
2025-12-11 01:00:00,2.8,81,7.7,2025-12-11,1,cold,1.1799999999999997
2025-12-11 02:00:00,2.6,81,8.0,2025-12-11,2,cold,0.98
2025-12-11 03:00:00,3.0,79,5.2,2025-12-11,3,cold,1.42
2025-12-11 04:00:00,1.8,80,9.1,2025-12-11,4,cold,0.19999999999999996
2025-12-11 05:00:00,2.0,79,7.3,2025-12-11,5,cold,0.41999999999999993
2025-12-11 06:00:00,2.1,79,7.3,2025-12-11,6,cold,0.52
2025-12-11 07:00:00,2.1,78,7.6,2025-12-11,7,cold,0.54
2025-12-11 08:00:00,2.1,78,6.7,2025-12-11,8,cold,0.54
2025-12-11 09:00:00,2.8,75,2.2,2025-12-11,9,cold,1.2999999999999998
2025-12-11 10:00:00,3.1,75,1.9,2025-12-11,10,cold,1.6
2025-12-11 11:00:00,3.0,79,1.4,2025-12-11,11,cold,1.42
2025-12-11 12:00:00,3.4,86,0.5,2025-12-11,12,cold,1.68
2025-12-11 13:00:00,3.8,90,1.1,2025-12-11,13,cold,1.9999999999999998
2025-12-11 14:00:00,3.8,94,0.8,2025-12-11,14,cold,1.92
2025-12-11 15:00:00,3.5,95,1.6,2025-12-11,15,cold,1.6
2025-12-11 16:00:00,3.0,98,1.1,2025-12-11,16,cold,1.04
2025-12-11 17:00:00,2.5,87,2.9,2025-12-11,17,cold,0.76
2025-12-11 18:00:00,2.3,74,7.0,2025-12-11,18,cold,0.8199999999999998
2025-12-11 19:00:00,2.3,74,8.4,2025-12-11,19,cold,0.8199999999999998
2025-12-11 20:00:00,2.5,71,9.5,2025-12-11,20,cold,1.08
2025-12-11 21:00:00,2.7,67,9.8,2025-12-11,21,cold,1.36
2025-12-11 22:00:00,2.9,65,9.7,2025-12-11,22,cold,1.5999999999999999
2025-12-11 23:00:00,2.9,64,10.5,2025-12-11,23,cold,1.6199999999999999
