time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,2.9,76,5.9,2025-12-11,0,cold,1.38
2025-12-11 01:00:00,2.8,81,7.7,2025-12-11,1,cold,1.1799999999999997
2025-12-11 02:00:00,2.6,81,8.0,2025-12-11,2,cold,0.98
2025-12-11 03:00:00,3.0,79,5.2,2025-12-11,3,cold,1.42
2025-12-11 04:00:00,1.8,80,9.1,2025-12-11,4,cold,0.19999999999999996
2025-12-11 05:00:00,2.0,79,7.3,2025-12-11,5,cold,0.41999999999999993
2025-12-11 06:00:00,2.1,79,7.3,2025-12-11,6,cold,0.52
2025-12-11 07:00:00,1.8,78,7.9,2025-12-11,7,cold,0.24
2025-12-11 08:00:00,1.9,77,7.9,2025-12-11,8,cold,0.3599999999999999
2025-12-11 09:00:00,2.4,75,4.6,2025-12-11,9,cold,0.8999999999999999
2025-12-11 10:00:00,2.9,76,3.3,2025-12-11,10,cold,1.38
2025-12-11 11:00:00,2.7,88,2.8,2025-12-11,11,cold,0.9400000000000002
2025-12-11 12:00:00,4.0,76,2.9,2025-12-11,12,cold,2.48
2025-12-11 13:00:00,3.7,83,1.4,2025-12-11,13,cold,2.04
2025-12-11 14:00:00,3.3,93,1.0,2025-12-11,14,cold,1.4399999999999997
2025-12-11 15:00:00,3.2,96,0.8,2025-12-11,15,cold,1.2800000000000002
2025-12-11 16:00:00,2.6,100,1.3,2025-12-11,16,cold,0.6000000000000001
2025-12-11 17:00:00,2.6,85,4.4,2025-12-11,17,cold,0.9000000000000001
2025-12-11 18:00:00,2.5,74,6.6,2025-12-11,18,cold,1.02
2025-12-11 19:00:00,2.3,72,8.4,2025-12-11,19,cold,0.8599999999999999
2025-12-11 20:00:00,2.5,69,9.3,2025-12-11,20,cold,1.12
2025-12-11 21:00:00,2.6,66,9.7,2025-12-11,21,cold,1.28
2025-12-11 22:00:00,2.7,65,9.0,2025-12-11,22,cold,1.4000000000000001
2025-12-11 23:00:00,2.8,65,9.8,2025-12-11,23,cold,1.4999999999999998
