date,hour,temperature_c
2025-12-11,0,8.85
2025-12-11,1,8.5
2025-12-11,2,8.15
2025-12-11,3,8.125
2025-12-11,4,7.3500000000000005
2025-12-11,5,7.25
2025-12-11,6,7.1499999999999995
2025-12-11,7,7.6
2025-12-11,8,9.75
2025-12-11,9,12.075000000000001
2025-12-11,10,13.65
2025-12-11,11,14.475000000000001
2025-12-11,12,15.5
2025-12-11,13,15.85
2025-12-11,14,15.8
2025-12-11,15,15.5
2025-12-11,16,14.700000000000001
2025-12-11,17,13.05
2025-12-11,18,11.424999999999999
2025-12-11,19,10.375
2025-12-11,20,9.75
2025-12-11,21,9.35
2025-12-11,22,9.0
2025-12-11,23,8.5
